date,temperature,rainfall,co2,year,month,temp_rolling,temp_trend,anomaly
2010-01-01,25.993428306022462,127.98710873172004,376.6241086251281,2010,1,,,False
2010-01-02,24.73347139765763,118.49267365825536,379.3274066464225,2010,1,,,False
2010-01-03,26.315377076201383,101.19260739840348,376.1379003950002,2010,1,,,False
2010-01-04,28.07605971281605,87.06126444588853,378.6101923518048,2010,1,,,False
2010-01-05,24.571693250553327,113.9644662722718,370.7319266652311,2010,1,,,False
2010-01-06,24.58172608610164,107.869707708435,381.3164685368647,2010,1,,,False
2010-01-07,28.21842563101478,117.90386440055464,380.30602737681113,2010,1,26.07002592290961,,False
2010-01-08,26.604869458305817,112.7034360336394,376.2645568446591,2010,1,26.15737465895009,,False
2010-01-09,24.14105122813009,120.9910543063867,383.696228342162,2010,1,26.072743206160442,,False
2010-01-10,26.17512008717193,89.29529576878863,385.1378506881328,2010,1,26.05270649344195,,False
2010-01-11,24.173164614375075,126.34788131268652,372.4622006781551,2010,1,25.495150050807524,,False
2010-01-12,24.178540492859486,103.951992093848,376.73637610716895,2010,1,25.438985371136976,,False
2010-01-13,25.60392454313207,141.5052174525053,376.75428825106354,2010,1,25.585013722141323,,False
2010-01-14,21.3034395106844,86.21624363820864,375.9504844944557,2010,1,24.597158562094126,,False
2010-01-15,21.690164334973936,134.719276063305,384.8473742096587,2010,1,23.895057830189568,,False
2010-01-16,24.02542494151805,103.95821566925297,379.780869306136,2010,1,23.878539789244993,,False
2010-01-17,23.134337759331157,86.97163992771104,379.47742579344697,2010,1,23.44414231383917,,False
2010-01-18,25.79849466519055,90.32228331891356,370.83068817796624,2010,1,23.67633232109852,,False
2010-01-19,23.363951848957576,93.5930538361136,384.0770901510461,2010,1,23.559962514826818,,False
2010-01-20,22.365392597329414,108.48331892803832,374.75370802573264,2010,1,23.09731509399787,,False
2010-01-21,28.131297537843107,110.45670976071,381.2996631513316,2010,1,24.07272338359197,,False
2010-01-22,24.75844739902693,88.52599992122842,382.436884689791,2010,1,24.511049535599543,,False
2010-01-23,25.355056409375848,99.51290815478036,387.9032929791933,2010,1,24.700996888150655,,False
2010-01-24,22.380503627573088,142.8454071722373,374.6058980044044,2010,1,24.5933062978995,,False
2010-01-25,24.15123455094963,134.55086340201422,366.1024392208959,2010,1,24.357983424436515,,False
2010-01-26,25.47184517941973,108.72647339348065,382.1692477237685,2010,1,24.659111043073967,,False
2010-01-27,22.958012845155395,100.760069563364,390.3025559075543,2010,1,24.743771078477675,,False
2010-01-28,26.021396036691343,102.40062653436524,387.5447317646972,2010,1,24.442356578313138,,False
2010-01-29,24.07872262016239,112.27035945460833,382.4482970763731,2010,1,24.345253038475345,,False
2010-01-30,24.70661250041345,79.5441486960319,378.99181907183976,2010,1,24.25261819433786,24.768706208297925,False
2010-01-31,24.09658677554121,94.8524692515331,385.5356129831865,2010,1,24.49777292976188,24.705478157281885,False
2010-02-01,29.014556369017875,66.62831852244821,376.68226900147766,2010,2,25.192533189485914,24.848180989660555,False
2010-02-02,25.29300555052413,107.9844624521056,383.9817888467811,2010,2,25.166984671072253,24.814101938804647,False
2010-02-03,23.2145781420882,112.94391879405482,384.1773507958331,2010,2,25.20363685634837,24.652052553113723,False
2010-02-04,26.985089824206376,90.33627075401252,387.0010495374944,2010,2,25.34130739742195,24.73249910556882,False
2010-02-05,22.908312700057955,131.47973526580066,395.5483001945554,2010,2,25.17410598026417,24.676718659367364,False
2010-02-06,25.77772719000951,75.48468673995318,383.7620798358938,2010,2,25.32712236449218,24.59536204466719,False
2010-02-07,21.45065975224045,70.7125023958036,379.30518187146254,2010,2,24.94913278973493,24.42355505446501,False
2010-02-08,22.723627902203138,104.48903637119945,381.77212843904,2010,2,24.05042872304711,24.376307610267443,False
2010-02-09,25.783722471738248,120.94196605224307,373.1046204755544,2010,2,24.120531140363408,24.363261023086327,False
2010-02-10,26.87693315999082,133.67855382915738,378.52643434455473,2010,2,24.6437247143495,24.453386641273518,False
2010-02-11,25.75273656237994,90.8223147426212,380.00358780943446,2010,2,24.467674248374294,24.505859843590866,False
2010-02-12,25.18870343522352,121.57361666862592,379.4795580103271,2010,2,24.79344435339795,24.49201913999391,False
2010-02-13,24.827792608821422,99.22983060998584,382.9117743601686,2010,2,24.65773941322822,24.60949757659848,False
2010-02-14,22.482956019265146,96.5474540011836,378.08790033808896,2010,2,24.805210308517463,24.635923966074852,False
2010-02-15,24.010311583210584,117.67319874973344,387.8551533366224,2010,2,24.989022262947095,24.635420187464604,False
2010-02-16,24.538722458080425,113.0464575682684,382.301035324591,2010,2,24.811165118138838,24.68223301075625,False
2010-02-17,27.58424445243783,68.47215686031501,382.3034983943069,2010,2,24.912209588488405,24.74175800366449,False
2010-02-18,26.16723657913692,129.53080699451792,380.7605264174354,2010,2,24.97142387659655,24.8352008280038,False
2010-02-19,21.96391968927453,127.60182708294904,383.2259534192949,2010,2,24.510740484318124,24.821818397735306,False
2010-02-20,26.14816793878959,87.48874596980941,386.62549132333817,2010,2,24.699365531456433,24.755714077766857,False
